X,Y,objectid,businessunit_name,businessunit_number,businessunit_banner_description,businessunit_type_description,businessunit_isstoreopen,facilitydetails_location_locati,facilitydetails_location_loca_1,facilitydetails_location_loca_2,facilitydetails_location_loca_3,facilitydetails_location_loca_8,businessunit_status_code,op_status,Modified_Operating_Hours_,Pharmacy_open_to_public_,Fuel_Station_open_to_public_,bu_num,Grocery_delivery_service,Grocery_delivery_status,Online_grocery_pickup,Online_grocery_pickup_status
-77.357871,43.066512,32479,"MACEDON, NY",3842,WM Supercenter,Retail,true,425 STATE ROUTE 31,MACEDON,WAYNE,NY,14502-9108,2,Open,,Y,Y,3842,No,,No,
-80.378092,33.906164,32481,SUMTER MCCRAYS SC,377,Neighborhood Market,Retail,true,343 PINEWOOD RD,SUMTER,SUMTER,SC,29150-5442,2,Open,,Y,Y,377,Yes,,Yes,Not Available
-75.821694,38.874403,32482,"DENTON, MD",3843,WM Supercenter,Retail,true,610 LEGION RD,DENTON,CAROLINE,MD,21629-2040,2,Open,,Y,Y,3843,No,,Yes,Available
-80.244444,36.638695,32484,"STUART, VA",3770,WM Supercenter,Retail,true,19265 JEB STUART HWY,STUART,PATRICK,VA,24171-4458,2,Open,,Y,Y,3770,No,,Yes,
-112.169998,33.5647670000001,32486,GLENDALE 51 AND OLIVE AZ,3844,Neighborhood Market,Retail,true,5137 W OLIVE AVE,GLENDALE,MARICOPA,AZ,85302-4204,2,Open,,Y,Y,3844,No,,No,
-112.136887,33.3905310000001,32487,"PHOENIX (LAVEEN), AZ",3771,WM Supercenter,Retail,true,6150 S 35TH AVE,PHOENIX,MARICOPA,AZ,85041-5004,2,Open,,Y,Y,3771,Yes,Available,Yes,Available
-86.888472,36.483683,32488,SPRINGFIELD TN,304,WM Supercenter,Retail,true,3360 TOM AUSTIN HWY,SPRINGFIELD,ROBERTSON,TN,37172-4516,5,Open,,Y,Y,304,Yes,Available,Yes,Available
-112.201923,33.580224,32489,"GLENDALE (67&PEORIA), AZ",3845,Neighborhood Market,Retail,true,6645 W PEORIA AVE,GLENDALE,MARICOPA,AZ,85302-1011,2,Open,,Y,Y,3845,No,,No,
-83.103413,36.7251130000001,32490,"JONESVILLE, VA",3772,WM Supercenter,Retail,true,468 TRADE CENTER LN,JONESVILLE,LEE,VA,24263-7463,2,Open,,Y,Y,3772,Yes,Available,Yes,Available
-111.772263,33.449396,32492,"MESA (LINDSAY), AZ",3846,Neighborhood Market,Retail,true,2725 E MCKELLIPS RD,MESA,MARICOPA,AZ,85213-3016,2,Open,,Y,Y,3846,No,Available,Yes,Available
-114.106886,36.805073,32493,"MESQUITE, NV",3847,WM Supercenter,Retail,true,1120 W PIONEER BLVD,MESQUITE,CLARK,NV,89027-8864,2,Open,,Y,Y,3847,No,,Yes,Available
-97.484281,32.765568,32495,"FORT WORTH (W), TX",3773,WM Supercenter,Retail,true,9500 CLIFFORD ST,FORT WORTH,TARRANT,TX,76108-4403,2,Open,,Y,Y,3773,No,Available,No,Available
-112.069638,41.0904610000001,32496,"SYRACUSE, UT",3848,WM Supercenter,Retail,true,2228 W 1700 S,SYRACUSE,DAVIS,UT,84075-7126,2,Open,,Y,Y,3848,No,Available,Yes,Available
-90.084715,30.472161,32497,COVINGTON LA,3042,Neighborhood Market,Retail,true,2800 N HWY 190,COVINGTON,ST. TAMMANY PARISH,LA,70433-9049,2,Open,,Y,Y,3042,No,Not Available,Yes,Not Available
-74.961398,39.662379,32498,WILLIAMSTOWN NJ,3774,WM Supercenter,Retail,true,1840 S BLACK HORSE PIKE,WILLIAMSTOWN,GLOUCESTER,NJ,08094-3883,2,Open,,Y,Y,3774,Yes,Available,Yes,Available
-97.288509,32.913081,32500,FORT WORTH  TX,3043,Neighborhood Market,Retail,true,4536 HERITAGE TRACE PARKWAY,FORT WORTH,TARRANT,TX,76244-0000,2,Open,,Y,Y,3043,Yes,Available,No,Available
-97.2713409999999,29.0895390000001,32502,CUERO TX,385,Wal-Mart,Retail,true,1202 E BROADWAY ST,CUERO,DEWITT,TX,77954-2124,2,Open,,Y,Y,385,No,,No,
-97.283333,32.7107810000001,32503,FORT WORTH SE TX,3044,WM Supercenter,Retail,true,2900 RENAISSANCE SQUARE,FORT WORTH,TARRANT,TX,76105-0000,2,Open,,Y,Y,3044,No,,No,Available
-122.919097,46.9945250000001,32505,"TUMWATER, WA",3850,WM Supercenter,Retail,true,5900 LITTLEROCK RD SW,TUMWATER,THURSTON,WA,98512-7355,2,Open,,Y,Y,3850,No,Available,Yes,Available
-96.8837829999999,33.1797010000001,32507,"FRISCO (W), TX",3777,WM Supercenter,Retail,true,12220 FM 423,FRISCO,DENTON,TX,75033-5222,2,Open,,Y,Y,3777,No,,Yes,Available
-120.976655,37.664518,32508,MODESTO ORANGE CA,3046,Neighborhood Market,Retail,true,1421 COFFEE RD,MODESTO,STANISLAUS,CA,95355-3170,2,Open,,Y,Y,3046,Yes,,Yes,
-106.374748,42.8168820000001,32509,"CASPER (W), WY",3778,WM Supercenter,Retail,true,4255 CY AVE,CASPER,NATRONA,WY,82604-4247,2,Open,,Y,Y,3778,No,Available,Yes,Available
-120.847067,37.5156480000001,32510,TURLOCK C CA,3047,Neighborhood Market,Retail,true,2480 GEER ROAD,TURLOCK,STANISLAUS,CA,95382-1426,2,Open,,Y,Y,3047,No,Available,No,Available
-86.859246,40.3647760000001,32511,"LAFAYETTE, IN",3851,WM Supercenter,Retail,true,2347 VETERANS MEMORIAL PKWY S,LAFAYETTE,TIPPECANOE,IN,47909-9183,2,Open,,Y,Y,3851,No,Not Available,Yes,Not Available
-82.372798,36.188269,32512,"UNICOI, TN",3852,WM Supercenter,Retail,true,110 ROCKY BOTTOM DR,UNICOI,UNICOI,TN,37692-4030,2,Open,,Y,Y,3852,No,,No,
-98.2172879999999,44.332969,32515,"HURON, SD",3853,WM Supercenter,Retail,true,2791 DAKOTA AVE S,HURON,BEADLE,SD,57350-4411,2,Open,,Y,Y,3853,No,,Yes,
-95.750571,39.4564710000001,32516,HOLTON KS,378,WM Supercenter,Retail,true,427 S ARIZONA AVE,HOLTON,JACKSON,KS,66436-1217,5,Open,,Y,Y,378,No,Available,No,Available
-110.842387,32.1930330000001,32517,TUCSON KOLB AZ,3049,Neighborhood Market,Retail,true,2550 S KOLB RD,TUCSON,PIMA,AZ,85710-8427,2,Open,,Y,Y,3049,Yes,Available,Yes,Available
-76.3846589999999,39.4984490000001,32519,"FALLSTON, MD",3780,WM Supercenter,Retail,true,303 FALLSTON BLVD,FALLSTON,HARFORD,MD,21047-2540,2,Open,,Y,Y,3780,No,Available,Yes,Available
-89.547284,32.725824,32520,CARTHAGE MS,305,WM Supercenter,Retail,true,905 HIGHWAY 16 W,CARTHAGE,LEAKE,MS,39051-4426,5,Open,,Y,Y,305,Yes,,Yes,
-86.244164,39.838269,32522,"INDIANAPOLIS (LAFYTE), IN",3781,WM Supercenter,Retail,true,4545 LAFAYETTE RD,INDIANAPOLIS,MARION,IN,46254-2033,2,Open,,Y,Y,3781,No,Available,No,Available
